complaint_text,category,borough
"There has been no street light near Gate 3 for almost a week and the road gets extremely dark at night.",Streetlight,Brooklyn
"Streetlight fixture hanging precariously from pole after heavy wind.",Streetlight,Manhattan
"Lamp post light out completely in front of residential building.",Streetlight,Queens
"Streetlight pole knocked down by vehicle accident, wires exposed.",Streetlight,Bronx
"Multiple streetlights dark along Atlantic Avenue creating pedestrian hazard.",Streetlight,Brooklyn
"Street light blinking continuously like a strobe light keeping neighbors awake.",Streetlight,Staten Island
"Dark street condition due to burnt out luminaire head on corner.",Streetlight,Manhattan
"No lighting on public stairway connecting two avenues.",Streetlight,Bronx
"Street light pole rusted through at base and leaning toward street.",Streetlight,Queens
"Public lamp out on residential block for several consecutive nights.",Streetlight,Brooklyn
"Street lights not turning on at dusk leaving entire avenue pitch black.",Streetlight,Manhattan
"Overhead highway lighting fixture unlit causing hazardous driving conditions.",Streetlight,Queens
"Bulb burned out on pedestrian walkway lamp near subway entrance.",Streetlight,Brooklyn
"Flickering sodium street lamp turning on and off erratically.",Streetlight,Bronx
"Street light photocell sensor broken so light stays off at night.",Streetlight,Staten Island
"Damaged luminaire casing after severe lightning storm.",Streetlight,Manhattan
"Total blackout of all streetlights along 4th Avenue corridor.",Streetlight,Brooklyn
"Underpass tunnel ceiling lights non-functional creating dark dangerous zone.",Streetlight,Queens
"Pedestrian safety lamp fixture smashed and unilluminated.",Streetlight,Bronx
"Street pole light missing bulb and glass lens exposing electrical socket.",Streetlight,Staten Island
"Deep pothole in middle lane of Broadway causing flat tires.",Pothole,Manhattan
"Dangerous crater on crosswalk causing vehicles to swerve into oncoming traffic.",Pothole,Brooklyn
"Pothole growing bigger after recent snow storm and road salt application.",Pothole,Queens
"Large depression and crater in roadway near bus stop.",Pothole,Bronx
"Tire blowout from sharp-edged pothole on highway off-ramp.",Pothole,Staten Island
"Asphalt caved in creating six inch deep pothole right before intersection.",Pothole,Manhattan
"Road surface cracked and crumbling into severe pothole hazard.",Pothole,Brooklyn
"Multiple potholes along commercial corridor rattling passing cars.",Pothole,Queens
"Sinkhole forming around utility manhole cover on street.",Pothole,Bronx
"Deep roadway hole filled with rainwater disguising its severe depth.",Pothole,Brooklyn
"Massive street crater near school crossing zone damaging car suspensions.",Pothole,Manhattan
"Rough road surface with severe potholes spanning across two traffic lanes.",Pothole,Queens
"Deep asphalt trench left unfilled by utility contractor after roadwork.",Pothole,Brooklyn
"Pothole edge cracked sharp enough to puncture bicycle and motorcycle tires.",Pothole,Bronx
"Sunken road depression causing vehicle undercarriage to scrape pavement.",Pothole,Staten Island
"Pothole cluster at intersection creating hazardous obstacle course for drivers.",Pothole,Manhattan
"Cavity in asphalt expanding rapidly due to heavy truck traffic.",Pothole,Queens
"Damaged road pavement with deep gouges and jagged potholes.",Pothole,Brooklyn
"Severe roadway crater right at highway entrance ramp merge point.",Pothole,Bronx
"Unpaved road trench turning into jagged pothole after rainfall.",Pothole,Staten Island
"Clean drinking water bubbling up continuously from street pavement.",Water Supply,Brooklyn
"Water main break flooding intersection and sidewalk with running water.",Water Supply,Manhattan
"Low water pressure across entire apartment building since morning.",Water Supply,Queens
"Discolored brown tap water coming out of kitchen and bathroom faucets.",Water Supply,Bronx
"Fire hydrant leaking heavy stream of water down the gutter.",Water Supply,Staten Island
"Catch basin blocked with debris causing street flooding during rainfall.",Water Supply,Manhattan
